CurrencyCD,CurrencyName,UnitsPerUSD,USDPerUnit,AsOfDate
USD,US Dollar,1,1,2014-12-22
EUR,Euro,0.818212032,1.22217709,2014-12-22
GBP,British Pound,0.642000195,1.557631925,2014-12-22
INR,Indian Rupee,63.22431935,0.015816699,2014-12-22
AUD,Australian Dollar,1.231610305,0.811945139,2014-12-22
CAD,Canadian Dollar,1.16453374,0.858712776,2014-12-22
SGD,Singapore Dollar,1.319113699,0.758084766,2014-12-22
CHF,Swiss Franc,0.984515792,1.015727739,2014-12-22
MYR,Malaysian Ringgit,3.493839223,0.286218093,2014-12-22
JPY,Japanese Yen,120.1733949,0.008321309,2014-12-22
CNY,Chinese Yuan Renminbi,6.222956485,0.160695323,2014-12-22
NZD,New Zealand Dollar,1.295049835,0.772171057,2014-12-22
THB,Thai Baht,32.89760807,0.030397347,2014-12-22
HUF,Hungarian Forint,256.7086866,0.003895466,2014-12-22
AED,Emirati Dirham,3.673138703,0.27224673,2014-12-22
HKD,Hong Kong Dollar,7.755423952,0.128942016,2014-12-22
MXN,Mexican Peso,14.67430881,0.06814631,2014-12-22
ZAR,South African Rand,11.57534742,0.086390496,2014-12-22
PHP,Philippine Peso,44.62024268,0.022411353,2014-12-22
SEK,Swedish Krona,7.806368525,0.128100537,2014-12-22
IDR,Indonesian Rupiah,12451.71182,8.03102E-05,2014-12-22
SAR,Saudi Arabian Riyal,3.75389845,0.266389731,2014-12-22
BRL,Brazilian Real,2.664590637,0.375292169,2014-12-22
TRY,Turkish Lira,2.31482388,0.431998308,2014-12-22
KES,Kenyan Shilling,90.39160815,0.011062974,2014-12-22
KRW,South Korean Won,1100.09376,0.000909013,2014-12-22
EGP,Egyptian Pound,7.151160971,0.139837434,2014-12-22
IQD,Iraqi Dinar,1148.014555,0.000871069,2014-12-22
NOK,Norwegian Krone,7.43340217,0.134527902,2014-12-22
KWD,Kuwaiti Dinar,0.292808963,3.415195999,2014-12-22
RUB,Russian Ruble,54.92149409,0.018207808,2014-12-22
DKK,Danish Krone,6.089129811,0.164227079,2014-12-22
PKR,Pakistani Rupee,100.564938,0.009943824,2014-12-22
ILS,Israeli Shekel,3.90765893,0.255907698,2014-12-22
PLN,Polish Zloty,3.487148111,0.286767286,2014-12-22
QAR,Qatari Riyal,3.641533094,0.274609615,2014-12-22
XAU,Gold Ounce,0.00085115,1174.880624,2014-12-22
OMR,Omani Rial,0.385001944,2.597389485,2014-12-22
COP,Colombian Peso,2328.921695,0.000429383,2014-12-22
CLP,Chilean Peso,608.8328869,0.001642487,2014-12-22
TWD,Taiwan New Dollar,31.58153503,0.031664072,2014-12-22
ARS,Argentine Peso,8.550607302,0.116950757,2014-12-22
CZK,Czech Koruna,22.57340902,0.044299911,2014-12-22
VND,Vietnamese Dong,21287.56219,4.69758E-05,2014-12-22
MAD,Moroccan Dirham,8.991895938,0.111211251,2014-12-22
JOD,Jordanian Dinar,0.710199778,1.408054511,2014-12-22
BHD,Bahraini Dinar,0.377045545,2.652199482,2014-12-22
XOF,CFA Franc,536.7119098,0.001863197,2014-12-22
LKR,Sri Lankan Rupee,131.2681155,0.007617996,2014-12-22
